,Unnamed: 0,category,name,ingredients,method,garnish,diffords,diffords_url,method_esp
11,11,Contemporary Classics,Grasshopper,"20 ml Crème de Cacao (White),20 ml Crème de Menthe (Green),20 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,"N/A, optional mint leaf",Grasshopper,/cocktails/recipe/12892/grasshopper-no-2,Vierta todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos. Colar en una copa de cóctel fría.
12,12,Contemporary Classics,Hemingway Special,"60 ml Rum,40 ml Grapefruit Juice,15 ml Maraschino Luxardo,15 ml Fresh Lime",Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.,,Hemingway Special,/cocktails/recipe/954/hemingway-special-daiquiri-papa-doble,Vierta todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel grande.
13,13,Contemporary Classics,Horse's Neck,"40 ml Cognac,120 ml Ginger Ale,Dash of Angostura Bitters (optional)","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently. If preferred, add dashes of Angostura Bitter.",Garnish with a rind of one lemon spiral.,Horse's Neck,/cocktails/recipe/979/horses-neck-with-a-kick,"Vierta el coñac y el ginger ale directamente en un vaso highball con cubitos de hielo. Remover suavemente. Si lo prefiere, añada unos chorritos de amargo de angostura."
14,14,Contemporary Classics,Irish Coffee,"50 ml Irish Whiskey,120 ml Hot coffee,50 ml Fresh cream (Chilled),1 teaspoon Sugar",Warm black coffee is poured into a pre-heated Irish coffee glass. Whiskey and at least one teaspoon of sugar is added and stirred until dissolved. Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee. The layer of cream will float on the coffee without mixing. Plain sugar can be replaced with sugar syrup,,Irish Coffee,/cocktails/recipe/1021/irish-coffee,"Se vierte café negro caliente en un vaso de café irlandés precalentado. Se añade whisky y al menos una cucharadita de azúcar y se remueve hasta que se disuelva. Se vierte con cuidado nata fresca, espesa y fría sobre el dorso de una cuchara, justo por encima de la superficie del café. La capa de nata flotará sobre el café sin mezclarse. El azúcar común puede sustituirse por jarabe de azúcar"
18,18,Contemporary Classics,Margarita,"50 ml Tequila 100% Agave,20 ml Triple Sec,15 ml Freshly Squeezed Lime Juice",Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass,Half salt rim (Optional),Margarita,/cocktails/recipe/1255/margarita-on-the-rocks-diffords-recipe,Añada todos los ingredientes en una coctelera con hielo. Agitar y colar en una copa de cóctel fría.
19,19,Contemporary Classics,Mimosa,"75 ml Fresh orange juice,75 ml Prosecco",Pour orange juice into a flute glass and gently pour the sparkling wine. Stir gently. Note: Also known as Buck's Fizz.,Garnish with an orange twist (optional).,Mimosa,/cocktails/recipe/1324/mimosa,Vierta el zumo de naranja en una copa flauta y vierta suavemente el vino espumoso. Remover suavemente. Nota: También conocido como Buck's Fizz.
20,20,Contemporary Classics,Mint Julep,"60 ml Bourbon Whiskey,4 fresh Mint sprigs,1 tsp Powdered Sugar,2 tsp Water","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",Garnish with a mint sprig.,Mint Julep,/cocktails/recipe/1330/mint-julep-cocktail,"En un vaso de acero inoxidable Julep, mezclar suavemente la menta con el azúcar y el agua. Llene el vaso con hielo picado, añada el Bourbon y remueva bien hasta que la copa se escarche."
21,21,Contemporary Classics,Mojito,"45 ml White Cuban Ron,20 ml Fresh Lime Juice,6 pcs Mint Sprigs,2 tsp White Cane Sugar,Soda Water",Mix mint springs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,Garnish with sprigs of mint and slice of lime.,Mojito,/cocktails/recipe/1341/mojito-cocktail,Mezcle los manantiales de menta con el azúcar y el zumo de lima. Añada un chorrito de soda y llene el vaso con hielo. Verter el ron y completar con agua de soda. Remover ligeramente para mezclar todos los ingredientes.
22,22,Contemporary Classics,Moscow Mule,"45 ml Smirnoff Vodka,120 ml Ginger Beer,10 ml Fresh lime juice","In a Mule Cup or rocks glass, combine the vodka and ginger beer. Add lime juice and gently stir to involve all ingredients.",Garnish with a lime slice,Moscow Mule,/cocktails/recipe/1366/moscow-mule,"En una Mule Cup o un vaso con hielo, mezcla el vodka y la cerveza de jengibre. Añada el zumo de lima y remueva suavemente para mezclar todos los ingredientes."
23,23,Contemporary Classics,Pina Colada,"50 ml White Rum,30 ml Coconut Cream,50 ml Fresh Pineapple Juice","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.  Note: Historically a few drops of fresh lime juice were added to taste. 4 slices of fresh pineapple can be used instead of juice",Garnish with a slice of pineapple with a cocktail cherry.,Pina Colada,/cocktails/recipe/3377/pina-colada-diffords-recipe,"Mezclar todos los ingredientes con hielo en una batidora eléctrica, verter en un vaso grande y servir con pajitas.  Nota: Históricamente se añadían unas gotas de zumo de lima fresco al gusto. Se pueden utilizar 4 rodajas de piña fresca en lugar de zumo."
24,24,Contemporary Classics,Pisco Sour,"60 ml Pisco,30 ml Fresh Lemon Juice,20 ml Simple Syrup,1 Raw Egg White",Add all ingredients into a shaker with ice. Shake and strain into a chilled goblet glass.,Few dashes of Amargo bitters on top as an aromatic garnish.,Pisco Sour,/cocktails/recipe/1562/pisco-sour-traditional-recipe,Añada todos los ingredientes en una coctelera con hielo. Agitar y colar en un vaso frío.
27,27,Contemporary Classics,Singapore Sling,"30 ml Gin,15 ml Cherry liqueur,7.5 ml Cointreau,7.5 ml DOM Bénédictine,120 ml Fresh Pineapple Juice,15 ml Fresh Lime Juice,10 ml Grenadine Syrup,A dash of Angostura bitters",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake well. Strain into Hurricane glass.,Garnish with pineapple and maraschino cherry,Singapore Sling,/cocktails/recipe/4627/singapore-sling-dale-degroffs-recipe,Vierta todos los ingredientes en una coctelera llena de cubitos de hielo. Agitar bien. Colar en una copa Hurricane.
28,28,Contemporary Classics,Tequila Sunrise,"45 ml Tequila,90 ml Fresh Orange Juice,15 ml Grenadine Syrup","Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",Garnish with half orange slice or an orange zest,Tequila Sunrise,/cocktails/recipe/1935/tequila-sunrise,"Verter el tequila y el zumo de naranja directamente en un vaso highball lleno de cubitos de hielo. Añadir el jarabe de granadina para crear un efecto cromático (amanecer), no remover."
29,29,Contemporary Classics,Vesper,"45 ml Gin,15 ml Vodka,7.5 ml Lillet Blanc",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Lemon zest,Vesper,/cocktails/recipe/2597/vesper-dry-martini,Vierta todos los ingredientes en una coctelera llena de cubitos de hielo. Agitar y colar en una copa de cóctel fría.
30,30,Contemporary Classics,Zombie,"45 ml Jamaican dark rum,45 ml Gold Puerto Rican rum,30 ml Demerara Rum,20 ml Fresh lime juice,15 ml Falernum,15 ml Donn's Mix,1 tsp Grenadine syrup,1 dash Angostura bitters,6 drops Pernod",Add all ingredients into an electric blender with 170 grams of cracked ice. With pulse bottom blend for a few seconds. Serve in a tall tumbler glass.  Note: Donn's Mix: 2 parts of fresh yellow grapefruit and 1 part of cinnamon syrup,Garnish with mint leaves.,Zombie,/cocktails/recipe/2131/zombie,Añada todos los ingredientes en una batidora eléctrica con 170 gramos de hielo picado. Triturar con el pulsador inferior durante unos segundos. Servir en un vaso alto.  Nota: Donn's Mix: 2 partes de pomelo amarillo fresco y 1 parte de sirope de canela.
31,31,New Era Drinks,Barracuda,"45 ml Gold Rum,15 ml Galliano,60 ml Fresh Pineapple Juice,1 dash Fresh Lime Juice,Top up with Prosecco","Pour all ingredients into cocktail shaker except the Prosecco, shake well with ice, strain into chilled highball glass filled with ice and top up with Prosecco.","Pineapple and Cherry, optional mint sprig for additional aroma.",Barracuda,/cocktails/recipe/4823/barracuda,"Vierta todos los ingredientes en la coctelera excepto el Prosecco, agite bien con hielo, cuele en un vaso alto frío lleno de hielo y complete con Prosecco."
32,32,New Era Drinks,Bee's Knees,"52.5 ml Dry Gin,2 teaspoons Honey Syrup,22.5 ml Fresh Lemon Juice,22.5 ml Fresh Orange Juice","Stir honey with lemon and orange juices until it dissolves, add gin and shake with ice. Strain into a chilled cocktail glass.",Optionally garnish with a lemon or orange zest.,Bee's Knees,/cocktails/recipe/2144/bees-knees,"Remover la miel con los zumos de limón y naranja hasta que se disuelva, añadir la ginebra y agitar con hielo. Colar en una copa de cóctel fría."
33,33,New Era Drinks,Bramble,"50 ml Gin,25 ml Fresh Lemon Juice,12.5 ml Sugar Syrup,15 ml Crème de Mûre","Pour all ingredients into a cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",Garnish optionally with a lemon slice and blackberries.,Bramble,/cocktails/recipe/305/bramble,"Vierta todos los ingredientes en una coctelera excepto la Crème de Mûre, agite bien con hielo, cuele en un vaso old fashioned frío lleno de hielo picado y, a continuación, vierta el licor de mora (Crème de Mûre) por encima de la bebida, con movimientos circulares."
36,36,New Era Drinks,Espresso Martini,"50 ml Vodka,30 ml Kahlúa,10 ml Sugar Syrup,1 strong Espresso","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Espresso Martini,/cocktails/recipe/725/espresso-martini,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
37,37,New Era Drinks,Fernandito,"50 ml Fernet Branca,Fill up with Cola","Pour the Fernet Branca into a double old fashioned glass with ice, fill the glass up with Cola. Gently stir.",,Fernandito,/cocktails/recipe/17620/fernandito,Vierta el Fernet Branca en un vaso old fashioned doble con hielo y llene el vaso con Cola. Remover suavemente.
38,38,New Era Drinks,French Martini,"45 ml Vodka,15 ml Raspberry Liqueur,15 ml Fresh Pineapple Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Squeeze oil from lemon peel onto the drink.,French Martini,/cocktails/recipe/798/french-martini,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
39,39,New Era Drinks,Illegal,"30 ml Espadin Mezcal,15 ml Jamaica Overproof White Rum,15 ml Falernum,1 Bar Spoon Maraschino Luxardo,22.5 ml Fresh Lime Juice,15 ml Simple Syrup,Few Drops of Egg White (Optional)","Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled cocktail glass, or “on the rocks” in a traditional clay or terracotta mug.",,Illegal,/cocktails/recipe/17623/illegal-margarita,"Vierta todos los ingredientes en la coctelera. Agitar enérgicamente con hielo. Colar en una copa de cóctel fría, o ""con hielo"" en una taza tradicional de barro o terracota."
42,42,New Era Drinks,New York Sour,"60 ml Rye Whiskey or Bourbon,22.5 ml Simple syrup,30 ml Fresh lemon juice,Few Drops of Egg White,15 ml Red wine (Shiraz or Malbech)",Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled rocks glass filled with ice. Float the wine on top.,Garnish with lemon or orange zest with cherry.,New York Sour,/cocktails/recipe/3398/new-york-sour-cocktail,Vierta todos los ingredientes en la coctelera. Agitar enérgicamente con hielo. Colar en un vaso con hielo. Hacer flotar el vino por encima.
43,43,New Era Drinks,Old Cuban,"6/8 pcs Mint Leaves,45 ml Aged Rum,22.5 ml Fresh Lime Juice,30 ml Simple Syrup,2 Dashes Angostura Bitters,60 ml Brut Champagne or Prosecco","Pour all ingredients into cocktail shaker except the wine, shake well with ice, strain into chilled elegant cocktail glass. Top up with the sparkling wine.",Garnish with mint springs.,Old Cuban,/cocktails/recipe/4901/old-cuban-highball,"Verter todos los ingredientes en la coctelera excepto el vino, agitar bien con hielo y colar en una copa de cóctel elegante y fría. Completar con el vino espumoso."
44,44,New Era Drinks,Paloma,"50 ml 100% Agave Tequila,5 ml Fresh lime,A pinch of Salt,100 ml Pink Grapefruit Soda","Poor the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.",Garnish with a slice of lime.,Paloma,/cocktails/recipe/1456/paloma,"Vierta el tequila en un vaso highball, exprima el zumo de lima. Añada hielo y sal, rellene el refresco de pomelo rosa. Remover suavemente."
45,45,New Era Drinks,Paper Plane,"30 ml Bourbon Whiskey,30 ml Amaro Nonino,30 ml Aperol,30 ml Fresh Lemon Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Paper Plane,/cocktails/recipe/3630/paper-plane,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
46,46,New Era Drinks,Penicillin,"60 ml Blended Scotch Whisky,7.5 ml Lagavulin 16 y Whisky,22.5 ml Fresh Lemon Juice,22.5 ml Honey Syrup,2-3 quarter size Sliced Fresh Ginger","Muddle fresh ginger in a shaker and add the remaining ingredients, except for the Islay single malt whiskey. Fill the shaker with ice and shake. Double-strain into a chilled old fashioned glass with ice. Float the single malt whisky on top.",Garnish with candied ginger.,Penicillin,/cocktails/recipe/2539/penicillin-cocktail,"Machaque el jengibre fresco en una coctelera y añada el resto de ingredientes, excepto el whisky de malta de Islay. Llenar la coctelera con hielo y agitar. Cuele dos veces en un vaso old fashioned frío con hielo. Poner el whisky de malta encima."
47,47,New Era Drinks,Russian Spring Punch,"25 ml Vodka,25 ml Fresh Lemon Juice,15 ml Crème de Cassis,10 ml Sugar syrup,Top up Sparkling wine","Pour all ingredients into a cocktail shaker except the sparkling wine, shake well with ice, strain into a chilled tall tumbler glass filled with ice, and top up with sparkling wine.",Garnish with blackberries and optionally a lemon slice as well.,Russian Spring Punch,/cocktails/recipe/1720/russian-spring-punch,"Verter todos los ingredientes en una coctelera excepto el vino espumoso, agitar bien con hielo, colar en un vaso alto frío lleno de hielo y completar con vino espumoso."
48,48,New Era Drinks,Southside,"60 ml London Dry Gin,30 ml Fresh Lemon Juice,15 ml Simple Syrup,5/6 Mint Leaves,Few Drops of Egg White (Optional)","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass. Note: If egg white is used shake vigorously.",Garnish with mint springs.,Southside,/cocktails/recipe/2200/southside,"Vierta todos los ingredientes en una coctelera, agite bien con hielo y cuele dos veces en una copa de cóctel fría. Nota: Si se utiliza clara de huevo, agitar enérgicamente."
49,49,New Era Drinks,Spicy Fifty,"50 ml Vodka Vanilla,15 ml Elderflower Cordial,15 ml Fresh Lime Juice,10 ml Monin Honey Syrup,2 thin Slices Red Chili Pepper","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.",Garnish with a red chili pepper,Spicy Fifty,/cocktails/recipe/3611/spicy-fifty,"Vierta todos los ingredientes en una coctelera, agite bien con hielo y cuele dos veces en una copa de cóctel fría."
50,50,New Era Drinks,Spritz,"90 ml Prosecco,60 ml Aperol,Splash of Soda water","Build all ingredients into a wine glass filled with ice. Stir gently. NOTE: There are other versions of the Spritz that use Campari, Cynar or Select instead of Aperol.",Garnish with a slice of orange.,Spritz,/cocktails/recipe/1861/spritz-al-bitter-spritz-veneziano,"Eche todos los ingredientes en una copa de vino llena de hielo. Remover suavemente. NOTA: Existen otras versiones del Spritz que utilizan Campari, Cynar o Select en lugar de Aperol."
51,51,New Era Drinks,Suffering Bastard,"30 ml Cognac or Brandy,30 ml Gin,15 ml Fresh Lime Juice,2 Dashes Angostura Bitters,Top up Ginger beer","Pour all ingredients into a cocktail shaker except the ginger beer, shake well with ice, Pour unstrained into a Collins glass or in the original S. Bastard mug and top up with ginger beer.",Garnish with mint springs and optionally an orange slice as well.,Suffering Bastard,/cocktails/recipe/2588/suffering-bastard,"Verter todos los ingredientes en una coctelera excepto la cerveza de jengibre, agitar bien con hielo, verter sin colar en un vaso Collins o en la taza original S. Bastard y completar con cerveza de jengibre."
52,52,New Era Drinks,Tipperary,"50 ml Irish Whiskey,25 ml Sweet Red Vermouth,15 ml Green Chartreuse,2 Dashes Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Garnish with a slice of orange.,Tipperary,/cocktails/recipe/1958/tipperary-no1,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.
53,53,New Era Drinks,Tommy's Margarita,"60 ml Tequila Agave 100% Reposado,30 ml Fresh Lime Juice (Persiano),30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar)","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.",Garnish with a lime slice.,Tommy's Margarita,/cocktails/recipe/1975/tommys-margarita,"Verter todos los ingredientes en una coctelera, agitar bien con hielo, colar en un vaso de roca frío lleno de hielo."
54,54,New Era Drinks,Trinidad Sour,"45 ml Angostura Bitters,30 ml Orgeat Syrup,22.5 ml Fresh Lemon Juice,15 ml Rye Whisky","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Trinidad Sour,/cocktails/recipe/3328/trinidad-sour,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
56,56,New Era Drinks,Yellow Bird,"30 ml White rum,15 ml Galliano,15 ml Triple Sec,15 ml Fresh Lime Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Yellow Bird,/cocktails/recipe/2113/yellow-bird,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
57,57,The Unforgettables,Alexander,"30 ml Cognac,30 ml Crème de Cacao (Brown),30 ml Fresh Cream",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Sprinkle fresh ground nutmeg on top.,Alexander,/cocktails/recipe/36/alexander-the-great,Verter todos los ingredientes en una coctelera llena de cubitos de hielo. Agitar y colar en una copa de cóctel fría.
58,58,The Unforgettables,Americano,"30 ml Bitter Campari,30 ml Sweet Red Vermouth,A splash of Soda Water",Mix the ingredients directly in an old fashioned glass filled with ice cubes. Add a splash of Soda Water. Stir gently.,Garnish with half orange slice and a lemon zest.,Americano,/cocktails/recipe/61/americano,Mezcle los ingredientes directamente en un vaso old fashioned lleno de cubitos de hielo. Añada un chorrito de agua de soda. Remover suavemente.
59,59,The Unforgettables,Angel Face,"30 ml Gin,30 ml Apricot Brandy,30 ml Calvados",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,,Angel Face,/cocktails/recipe/521/angel-face,Verter todos los ingredientes en una coctelera llena de cubitos de hielo. Agitar y colar en una copa de cóctel fría.
60,60,The Unforgettables,Aviation,"45 ml Gin,15 ml Maraschino Luxardo,15 ml Fresh Lemon Juice,1 Bar Spoon Crème de Violette",Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.,Optional Maraschino Cherry.,Aviation,/cocktails/recipe/127/aviation-cocktail-diffords-recipe,Añada todos los ingredientes en una coctelera. Agitar con hielo picado y colar en una copa de cóctel fría.
62,62,The Unforgettables,Boulevardier,"45 ml Bourbon or Rye Whiskey,30 ml Bitter Campari,30 ml Sweet Red Vermouth",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,"Garnish with orange zest, optionally a lemon zest.",Boulevardier,/cocktails/recipe/2955/boulevardier-cocktail,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de cóctel fría.
63,63,The Unforgettables,Brandy Crusta,"52.5 ml Brandy,7.5 ml Maraschino Luxardo,1 Bar Spoon Curacao,15 ml Fresh Lemon Juice,1 Bar Spoon Simple Syrup,2 Dashes Aromatic Bitters",Mix together all ingredients with ice cubes in a mixing glass and strain into prepared slim cocktail glass.,"Rub a slice of orange (or lemon) around the rim of the glass and dip it in pulverized white sugar, so that the sugar will adhere to the edge of the glass. Carefully curling place the orange/lemon peel around the inside of the glass.",Brandy Crusta,/cocktails/recipe/310/brandy-crusta,Mezclar todos los ingredientes con cubitos de hielo en un vaso mezclador y colar en una copa de cóctel delgada preparada.
64,64,The Unforgettables,Casino,"40 ml Old Tom Gin,10 ml Maraschino Luxardo,10 ml Fresh Lemon Juice,2 Dashes Orange Bitters","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.",Garnish with lemon zest and a maraschino cherry.,Casino,/cocktails/recipe/2332/casino,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en un vaso de cristal con hielo."
65,65,The Unforgettables,Clover Club,"45 ml Gin,15 ml Raspberry Syrup,15 ml Fresh Lemon Juice,Few Drops of Egg White","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",Fresh raspberries.,Clover Club,/cocktails/recipe/2809/clover-club-house-made,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
66,66,The Unforgettables,Daiquiri,"60 ml White Cuban Ron,20 ml Fresh Lime Juice,2 Bar Spoons Superfine Sugar",In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,,Daiquiri,/cocktails/recipe/611/daiquiri-diffords-recipe,"En una coctelera, añada todos los ingredientes. Remover bien para disolver el azúcar. Añadir hielo y agitar. Colar en una copa de cóctel fría."
67,67,The Unforgettables,Dry Martini,"60 ml Gin,10 ml Dry Vermouth",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,"Squeeze oil from lemon peel onto the drink, or garnish with green olives if requested.",Dry Martini,/cocktails/recipe/676/dry-martini-preferred-51-ratio,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.
68,68,The Unforgettables,Gin Fizz,"45 ml Gin,30 ml Fresh Lemon Juice,10 ml Simple Syrup,Splash of Soda Water","Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water.  NOTE: Serve without ice.","Garnish with a lemon slice, optional lemon zest.",Gin Fizz,/cocktails/recipe/840/gin-fizz,"Agite todos los ingredientes con hielo, excepto el agua de soda. Verter en un vaso Tumbler alto y fino y añadir un chorrito de soda.  NOTA: Servir sin hielo."
69,69,The Unforgettables,Hanky Panky,"45 ml London Dry Gin,45 ml Sweet Red Vermouth,7.5 ml Fernet Branca",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Orange zest.,Hanky Panky,/cocktails/recipe/930/hanky-panky-cocktail,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de cóctel fría.
70,70,The Unforgettables,John Collins,"45 ml Gin,30 ml Fresh Lemon Juice,15 ml Simple Syrup,60 ml Soda Water",Pour all ingredients directly into a highball filled with ice. Stir gently. NOTE: Use ‘Old Tom' Gin for Tom Collins.,Garnish with a lemon slice and maraschino cherry.,John Collins,/cocktails/recipe/1069/john-collins,"Vierta todos los ingredientes directamente en un highball lleno de hielo. Remover suavemente. NOTA: Utilice ginebra ""Old Tom"" para el Tom Collins."
